,sequence,start,end
165,A0A0H3B0B8,788,927
166,A0A0H3C9Q9,1,75
167,A0A0H3CC30,1,237
168,A0A0H3G4K1,1,161
169,A0A0H3G586,1,89
170,A0A0H3GGE2,1,152
171,A0A0H3JPC6,489,573
172,A0A0H3JVA1,489,573
173,A0A0H3K686,328,410
174,A0A0H3K6X4,1,79
175,A0A0H3KEE1,25,112
176,A0A0H3MAA9,137,222
177,A0A0H3MAA9,235,449
178,A0A0H3MAA9,623,750
179,A0A0H3MD02,39,273
180,A0A0H5SJ89,1,274
181,A0A0H5SJ89,308,477
182,A0A0H5SJ89,493,709
183,A0A0H5SJ89,722,804
184,A0A0H5SJ89,881,1285
185,A0A0J9X1Q5,1,136
186,A0A0J9X1Q5,276,400
187,A0A0K1IRS6,93,174
188,A0A0K1IRS6,253,337
189,A0A0K1IRS6,433,660
190,A0A0K1IRS6,679,758
191,A0A0K2VM55,1,232
192,A0A0K3AV08,495,676
193,A0A0K3AV08,689,977
194,A0A0M4KRN2,1,247
195,A0A0M4KRN2,257,383
196,A0A0M4LAF6,1,110
197,A0A0M4LAF6,130,558
198,A0A0M5K865,20,742
199,A0A0N0DCA4,1,279
200,A0A0N7D4P6,1300,1432
201,A0A0N7L4N2,13,203
202,A0A0N7L7I9,1,292
203,A0A0P0V4R0,816,915
204,A0A0P0XCU3,230,606
205,A0A0P0XCU3,1780,1875
206,A0A0P1A8A0,20,123
207,A0A0P1A8B0,1,79
208,A0A0P1AFH7,1,244
209,A0A0P1AK67,1,132
210,A0A0P1AL95,1,120
211,A0A0P1AM89,1,125
212,A0A0P1AZU2,1,75
213,A0A0P1AZU2,96,173
214,A0A0P1B5K4,1,476
215,A0A0P1B5Z9,1,322
216,A0A0P1B8W9,19,122
217,A0A0R4IBK5,1,84
218,A0A0S1RUN4,1,85
219,A0A0S2E7V8,1,86
220,A0A0S2E7W3,1,86
221,A0A0S2E7W7,1,85
222,A0A0S2E7X0,1,85
223,A0A0S2E7Z1,1,88
224,A0A0S2SZW1,180,266
225,A0A0S2T050,467,665
226,A0A0U1LQE1,1,84
227,A0A0U1LSP0,638,721
228,A0A0U2X0E4,362,443
229,A0A0U3AL34,444,533
230,A0A0U5AF03,1,382
231,A0A0X9SHN5,422,528
232,A0A0Y0M151,1290,1464
233,A0A109PTH9,31,233
234,A0A109PTH9,422,528
235,A0A131MBU3,1620,1981
236,A0A131MCZ8,105,194
237,A0A140JWS9,51,170
238,A0A140JWS9,184,368
239,A0A142C7A3,75,210
240,A0A142C7A3,583,815
241,A0A144LUY5,39,119
242,A0A144LVL3,1,121
243,A0A144LVM3,1,89
244,A0A172M418,1,115
245,A0A172M419,52,134
246,A0A172M421,16,136
247,A0A172M470,1,416
248,A0A172M473,1,120
249,A0A172M476,1,130
250,A0A172M490,13,112
251,A0A172M4M8,1,268
252,A0A172M4N0,20,197
253,A0A179H0U5,414,552
254,A0A179H164,1,90
255,A0A179H2I8,399,499
256,A0A179HM40,1,82
257,A0A179HM59,1,243
258,A0A182BSR8,1,117
259,A0A182BSR9,1,265
260,A0A182BSS0,1,149
261,A0A182BSS2,1,124
262,A0A1B0GRQ0,1,93
263,A0A1B0GSZ0,1,75
264,A0A1B0GTC6,1,90
265,A0A1B0GTI1,1,111
266,A0A1B0GTK5,1,79
267,A0A1B0GTR0,20,161
268,A0A1B0GU29,72,152
269,A0A1B0GUA6,96,174
270,A0A1B0GUA7,11,136
271,A0A1B0GUI7,1,84
272,A0A1B0GUQ0,1,79
273,A0A1B0GUS0,128,222
274,A0A1B0GUT2,1,108
275,A0A1B0GUY1,19,113
276,A0A1B0GV22,1,79
277,A0A1B0GVH6,1,113
278,A0A1B0GVH6,128,325
279,A0A1B0GVN3,1,196
280,A0A1B0GVT2,1,93
281,A0A1B0GVZ9,1,245
282,A0A1B4XBH2,350,463
283,A0A1B4XBI5,1,272
284,A0A1B4XBK0,1,81
285,A0A1D1V3Z0,1,236
286,A0A1D5NS60,1,239
287,A0A1D5PUP4,11,89
288,A0A1D8PNZ7,161,242
289,A0A1E1FFK8,1,79
290,A0A1E3P8S6,315,391
291,A0A1H7TQR5,19,108
292,A0A1I4KS07,1,165
293,A0A1I8M2I8,136,233
294,A0A1I8MUL8,1,85
295,A0A1I8MUL8,103,179
296,A0A1I8MUL8,282,367
297,A0A1L4BKP6,1,151
298,A0A1L4BKQ4,1,448
299,A0A1L5BUX8,1,123
300,A0A1L8GR68,15,101
301,A0A1L8I316,57,283
302,A0A1L9NGU5,1,119
303,A0A1L9NGU5,2207,2403
304,A0A1L9UR45,1,175
305,A0A1L9UR45,196,297
306,A0A1L9WUI2,1,123
307,A0A1P8ASY1,52,186
308,A0A1P8ASY1,199,336
309,A0A1P8ATR9,864,940
310,A0A1P8YT88,1,125
311,A0A1P8YT88,139,369
312,A0A1P8YT89,1,267
313,A0A1P8YT89,332,474
314,A0A1R3RGK1,1,120
315,A0A1R3RGK4,47,155
316,A0A1R3S3A8,1,98
317,A0A1S4NYE3,415,604
318,A0A1S4NYE3,621,708
319,A0A1S4NYE3,834,1030
320,A0A1S4NYE3,1044,1581
321,A0A1S4NYE3,1590,2060
322,A0A1S4NYE3,2651,2795
323,A0A1S4NYE3,2998,3253
324,A0A1S5RW73,1,77
325,A0A1S7LCW6,1,80
326,A0A1U8QYW8,1,129
327,A0A1V6PAF7,2826,2910
328,A0A1V6PAU0,147,426
329,A0A1W2PR82,83,267
330,A0A1W2VMZ5,33,115
331,A0A1W6BT46,1,92
332,A0A1Y0BRF0,1,132
333,A0A1Z2R986,15,228
334,A0A1Z4F647,1,79
335,A0A1Z4F647,393,505
336,A0A248AFK6,1,102
337,A0A248AFK6,1258,1368
338,A0A248AFK6,1965,2046
339,A0A248AFK6,2341,2415
340,A0A284RE13,1767,1860
341,A0A284S4Q2,1,193
342,A0A286LEZ9,32,142
343,A0A286M9N3,1305,1423
344,A0A286SC82,1,126
345,A0A286YDK6,51,273
346,A0A286YF58,296,385
347,A0A2A5K485,1,83
348,A0A2H3CTK0,1765,1860
349,A0A2H5RJD4,1,469
350,A0A2I6PIZ1,494,575
351,A0A2I6PIZ9,1,86
352,A0A2K3D5Z7,1,509
353,A0A2K5V015,1,176
354,A0A2K9RFZ7,1,86
355,A0A2K9RFZ8,1,90
356,A0A2L0VXR0,674,959
357,A0A2U8U2K7,772,854
358,A0A2U8U2L5,14,430
359,A0A2U8U2L8,443,632
360,A0A2Z5TJB0,260,341
361,A0A2Z5TJB0,354,493
362,A0A2Z5TM64,1289,1363
363,A0A2Z6UD27,1,90
364,A0A2Z6UD27,406,513
365,A0A317VEE1,1,107
366,A0A317VEE1,1187,1275
367,A0A317VEE1,2194,2389
368,A0A317VEE1,3362,3542
369,A0A318Z3U0,1,118
370,A0A318Z3U0,1179,1267
371,A0A318Z3U0,2165,2357
372,A0A318Z3U0,3480,3561
373,A0A319A6V2,1,117
374,A0A319A6V2,2210,2401
375,A0A319BQC1,1231,1322
376,A0A319DV72,1,99
377,A0A319DV72,3419,3586
378,A0A384JQC9,56,440
379,A0A384XLH1,199,304
380,A0A386CAB9,1,190
381,A0A395I3F8,2239,2430
382,A0A3B1EFP7,76,281
383,A0A3B7TLI7,1,145
384,A0A3B7TLV2,14,101
385,A0A3B7TLV2,112,502
386,A0A3B7TNF2,1,147
387,A0A3B7TNM4,1,217
388,A0A3B7TNW2,1,198
389,A0A3F2YED3,1,169
390,A0A3G1DJE8,1,336
391,A0A3G1DJI3,439,595
392,A0A3G1DJJ7,1,192
393,A0A3G1DJJ7,223,506
394,A0A3G1DJJ7,523,614
395,A0A3G1DJJ7,655,754
396,A0A3G1VU77,1,112
397,A0A3G1VU78,1,112
398,A0A3P7XL18,1,150
399,A0A3P7XL18,212,297
400,A0A411NN20,19,174
401,A0A411PQP1,294,404
402,A0A443HK05,111,228
403,A0A443HK05,322,436
404,A0A443HK79,597,685
405,A0A455R4Z0,68,384
406,A0A455R5P9,1706,1782
407,A0A455R614,127,325
408,A0A455R614,352,512
409,A0A4P8GFV8,1,379
410,A0A4P8W796,1,89
411,A0A4P8W796,267,376
412,A0A4P8W7L7,109,221
413,A0A4P8W7L7,379,523
414,A0AUJ5,1,127
415,A0AUJ5,278,412
416,A0AUJ5,425,567
417,A0AUJ5,2134,2370
418,A0AUJ5,3074,3164
419,A0AUJ5,3170,3273
420,A0C767,1,328
421,A0JM13,1,104
422,A0JM56,1393,1502
423,A0JMA8,662,783
424,A0JMR6,1,87
425,A0JMZ4,653,761
426,A0JND3,1,128
427,A0JP70,175,304
428,A0JP70,318,400
429,A0JY67,1,83
430,A0KJ65,1,97
431,A0KJB0,655,743
432,A0KJJ9,1,140
433,A0LCF5,111,252
434,A0LHE3,240,350
435,A0LJM5,158,290
436,A0LM36,492,575
437,A0LRI8,369,451
438,A0LYR8,1021,1119
439,A0MD28,181,258
440,A0MD28,547,679
441,A0MD28,972,1123
442,A0MD28,1136,1583
443,A0MD28,1881,2065
444,A0MD28,2197,2557
445,A0MD28,3085,3166
446,A0MD28,3392,3560
447,A0MD28,3685,3838
448,A0MFS9,1,81
449,A0MSJ1,1,75
450,A0MSJ1,86,192
451,A0MZE1,40,172
452,A0MZE1,231,763
453,A0MZE7,1,1058
454,A0MZE7,1076,1382
455,A0NDK8,71,171
456,A0P8X0,264,808
457,A0Q5Y3,991,1629
458,A0QIR4,512,617
459,A0QLI5,1,145
460,A0QLI5,296,433
461,A0QNH4,1,81
462,A0QNH4,108,330
463,A0QNH4,346,692
464,A0QNH5,1,170
465,A0QNH5,188,324
466,A0QNH5,344,537
467,A0QNH6,1,385
468,A0QNI5,1,244
469,A0QNI5,421,525
470,A0QNL0,336,464
471,A0QP18,719,954
472,A0QPD4,832,946
473,A0QPD4,1072,1252
474,A0QPN1,494,568
475,A0QW28,1,89
476,A0QW28,326,430
477,A0QWZ7,12,209
478,A0QWZ7,221,366
479,A0QYV1,232,362
480,A0QYV1,376,469
481,A0R036,1,81
482,A0R567,215,293
483,A0R5G1,1,124
484,A0R628,416,594
485,A0R635,236,458
486,A0R6E3,1,102
487,A0REC6,1,84
488,A0RQ93,287,395
489,A0RZC6,1560,1651
490,A0SIF1,15,109
491,A0SIF1,122,234
492,A0SIX6,88,215
493,A0ZZZ0,450,563
494,A1A5G0,267,383
495,A1A5K2,298,441
496,A1A5R8,1,126
497,A1A5R9,392,563
498,A1A708,1,209
499,A1A708,287,446
500,A1A7X7,1,116
501,A1ADD4,1,96
502,A1ADH3,1,141
503,A1AJ76,518,615
504,A1ANJ7,316,392
505,A1BQQ5,214,289
506,A1C5W6,987,1112
507,A1C8C3,1,151
508,A1C9L6,132,276
509,A1C9W6,74,206
510,A1CAI0,1,167
511,A1CBF3,1,153
512,A1CBW8,444,525
513,A1CC12,740,840
514,A1CFB3,1,115
515,A1CFB3,390,469
516,A1CFB3,489,730
517,A1CFL7,217,323
518,A1CFL8,1173,1348
519,A1CFL9,675,752
520,A1CFM0,1,175
521,A1CHB5,90,194
522,A1CHL3,117,199
523,A1CIK0,74,188
524,A1CIK0,263,404
525,A1CIK0,875,987
526,A1CIL1,468,551
527,A1CJ92,1,97
528,A1CJ92,782,874
529,A1CKE0,788,884
530,A1CKE0,956,1126
531,A1CLY6,97,246
532,A1CLY6,378,534
533,A1CLZ1,1,327
534,A1CQA9,238,355
535,A1CQL5,478,613
536,A1CS00,1,123
537,A1CS00,1038,1119
538,A1CSR1,1,104
539,A1CTL8,33,139
540,A1CU77,1,87
541,A1CW53,467,543
542,A1CW63,63,137
543,A1CW63,828,988
544,A1CX72,99,181
545,A1CYS1,1,84
546,A1CYS1,592,709
547,A1CZE5,82,204
548,A1D1E3,1,79
549,A1D373,235,328
550,A1D3I1,495,632
551,A1D4V5,1,147
552,A1D6Y7,1,84
553,A1D731,740,838
554,A1D731,986,1193
555,A1D887,1,89
556,A1D887,796,897
557,A1D9K5,1,91
558,A1D9S3,573,648
559,A1D9Y2,117,270
560,A1DA48,392,467
561,A1DC16,1,86
562,A1DD80,741,840
563,A1DDD8,450,532
564,A1DEV5,1,87
565,A1DEV5,174,249
566,A1DG38,1002,1093
567,A1DGF2,13,104
568,A1DL11,253,345
569,A1DLJ5,1,114
570,A1DLN3,1,97
571,A1DMG9,87,163
572,A1DMR2,1,78
573,A1DMT9,1,86
574,A1DMW6,1,81
575,A1DN09,68,174
576,A1DNF9,729,810
577,A1DNW0,1,130
578,A1EC95,1,100
579,A1IGV8,549,653
580,A1IGV8,1168,1463
581,A1IPF8,20,111
582,A1IPF8,153,320
583,A1ITU2,16,112
584,A1ITU2,203,313
585,A1JKL6,1,142
586,A1JLG6,1,95
587,A1JU65,1,102
588,A1K3J2,1,75
589,A1KH33,1,175
590,A1KJ57,1,75
591,A1KQF4,361,468
592,A1KQF9,385,511
593,A1KSQ9,16,113
594,A1KSQ9,203,313
595,A1KV07,1,84
596,A1KVQ6,16,100
597,A1KVQ6,203,313
598,A1KWH9,20,111
599,A1KWH9,153,320
600,A1L2F3,1,100
601,A1L3F5,1,106
602,A1L4H1,581,763
603,A1L4Q6,50,167
604,A1QZ05,534,612
605,A1SE29,1,79
606,A1SE34,358,449
607,A1STJ9,1,80
608,A1SW96,1,147
609,A1UJY7,136,236
610,A1V8X2,1,144
611,A1VDM7,716,797
612,A1VK87,159,235
613,A1W0R3,285,392
614,A1WUX4,328,406
615,A1XGT0,1482,1621
616,A1XGT0,1881,1990
617,A1XGT0,2064,2294
618,A1XIP9,1,389
619,A1XIP9,497,894
620,A1XIP9,1642,2158
621,A1XIQ0,1,111
622,A1XIQ1,240,460
623,A1XIQ1,1088,1198
624,A1YF12,1,149
625,A1YF15,280,512
626,A1YG88,1,147
627,A1YG91,279,512
628,A1Z198,1,103
629,A1Z713,837,926
630,A1Z7A8,204,488
631,A1Z7A8,504,634
632,A1Z7G7,1314,1425
633,A1Z877,695,777
634,A1Z8N1,191,312
635,A1Z9E2,1,232
636,A1Z9E2,250,327
637,A1Z9L3,1,112
638,A1ZA47,1375,1454
639,A1ZA47,1465,1560
640,A1ZAJ2,909,1074
641,A1ZAJ2,1278,1368
642,A2A4P0,8,166
643,A2A5N8,1,75
644,A2A690,50,127
645,A2A761,1,103
646,A2A791,1,77
647,A2A7Q9,534,614
648,A2A7Q9,633,732
649,A2A884,2216,2348
650,A2A935,83,180
651,A2A9R3,353,556
652,A2AGX3,453,565
653,A2AH22,1146,1245
654,A2AJ76,4997,5100
655,A2AKX3,1,862
656,A2AKX3,876,1000
657,A2AN08,20,250
658,A2AP18,1276,1354
659,A2AR02,637,752
660,A2ARP1,1284,1436
661,A2ARV4,4472,4614
662,A2ARZ3,5536,5642
663,A2ASS6,3718,3920
664,A2ASS6,4076,4192
665,A2AUM9,1471,1736
666,A2AVA0,873,985
667,A2AWA9,22,123
668,A2BT59,1271,1352
669,A2BYK9,1271,1352
670,A2C5T5,1,89
671,A2C9Q5,1,121
672,A2CEI6,1,89
673,A2D4Z7,281,512
674,A2PYH4,56,216
675,A2PZA5,1,89
676,A2PZA5,103,292
677,A2Q8R2,40,166
678,A2Q9L8,900,987
679,A2Q9N1,632,758
680,A2QA23,1,82
681,A2QAB5,1,133
682,A2QAX7,712,811
683,A2QCW6,540,616
684,A2QFK0,977,1114
685,A2QHV0,344,446
686,A2QHV0,457,679
687,A2QI68,114,188
688,A2QIL2,118,211
689,A2QK68,525,608
690,A2QL72,453,537
691,A2QLJ9,1,91
692,A2QLK4,83,178
693,A2QM49,119,204
694,A2QM49,484,582
695,A2QN74,1,215
696,A2QNQ5,391,476
697,A2QNQ5,485,581
698,A2QPW5,523,612
699,A2QQA8,255,345
700,A2QSC9,2134,2221
701,A2QTU5,18,145
702,A2QWW0,1,81
703,A2QX26,662,777
704,A2QX52,166,268
705,A2QYX4,1,117
706,A2QYX4,2210,2401
707,A2QZ71,1,106
708,A2R1F6,1,133
709,A2R2G1,1,94
710,A2R2S8,23,184
711,A2R346,209,283
712,A2R350,123,277
713,A2R350,308,389
714,A2R3X3,741,841
715,A2R4T4,1,256
716,A2R6A1,402,476
717,A2R6G8,1,118
718,A2R6H0,1,122
719,A2R7P5,691,767
720,A2R7P5,805,924
721,A2R7P5,993,1201
722,A2R9H9,84,200
723,A2RA84,1,156
724,A2RCP2,148,227
725,A2RNK1,146,225
726,A2RSY1,777,903
727,A2RT91,1378,1465
728,A2RU37,1,121
729,A2RUQ5,1,118
730,A2RUV5,1,300
731,A2S1Q0,1,97
732,A2S1Q9,128,437
733,A2S6N9,1,103
734,A2SH83,1,140
735,A2SSD6,277,351
736,A2STU3,269,380
737,A2T345,1,213
738,A2T3S0,1,100
739,A2T759,1,134
740,A2T762,281,512
741,A2TBU4,1265,1351
742,A2TJI4,1,120
743,A2VCZ5,1,85
744,A2VD00,1215,1424
745,A2VD23,1,189
746,A2VEY9,618,693
747,A2XAM0,19,129
748,A2XAM1,19,129
749,A2XDA1,1,79
750,A2XDG4,986,1079
751,A2XVF7,655,832
752,A2Y3Q5,1,78
753,A2YA15,1,90
754,A2YV85,709,812
755,A2ZRG4,1,101
756,A2ZRG4,700,830
757,A3A8Q4,1,107
758,A3A8Q4,517,636
759,A3A8Q4,655,771
760,A3AF13,986,1079
761,A3AVH5,655,832
762,A3BFT0,54,320
763,A3BH91,1,93
764,A3BT52,709,812
765,A3CSJ1,266,437
766,A3CUF2,428,503
767,A3DBH1,70,336
768,A3DC20,59,213
769,A3DC20,226,349
770,A3DC20,582,707
771,A3DC27,80,355
772,A3DC75,62,337
773,A3DCG3,61,286
774,A3DDN1,1,105
775,A3DEX6,59,262
776,A3DH97,61,374
777,A3DIE5,70,174
778,A3DIE5,257,331
779,A3DSK5,1,100
780,A3EX95,14,91
781,A3EX97,1,145
782,A3EX97,158,285
783,A3EX98,59,227
784,A3EXD1,10,121
785,A3EXD3,42,256
786,A3EXD4,1,223
787,A3EXG7,1,220
788,A3EXH1,14,185
789,A3EXH2,1,149
790,A3F7X2,1,116
791,A3FMB2,778,1225
792,A3FMB2,1329,1461
793,A3FPN7,411,490
794,A3GEW8,574,676
795,A3GF47,746,1362
796,A3GF47,1382,1459
797,A3GF47,1471,1654
798,A3GG51,718,809
799,A3GGE9,688,765
800,A3GH78,839,1050
801,A3GI31,1,100
802,A3KMX0,1287,1558
803,A3KN32,72,174
804,A3KN33,25,101
805,A3KPF8,1,86
806,A3KQ55,1,108
807,A3LN53,319,697
808,A3LN53,764,968
809,A3LN53,1515,1660
810,A3LN78,116,390
811,A3LNC4,762,1064
812,A3LNC4,1079,1194
813,A3LQ44,372,490
814,A3LQ52,57,629
815,A3LQ55,25,103
816,A3LQS0,18,98
817,A3LRF0,476,587
818,A3LRH4,1,88
819,A3LRH4,483,775
820,A3LRM6,1,86
821,A3LRM6,99,188
822,A3LRM6,201,340
823,A3LRM6,366,446
824,A3LSN3,625,730
825,A3LT28,274,514
826,A3LT28,585,933
827,A3LTS5,1,123
828,A3LWI0,115,208
829,A3LXM3,254,360
830,A3LYQ7,1,130
831,A3LYQ7,296,388
832,A3LYZ4,38,253
833,A3LYZ4,355,523
834,A3LYZ4,819,904
835,A3LZ54,880,1034
836,A3LZ57,1,154
837,A3LZ57,1536,1710
838,A3LZS3,1,82
839,A3LZS3,836,916
840,A3LZT3,838,931
841,A3M0B1,264,363
842,A3M2Q0,1,92
843,A3MCG8,1,97
844,A3MCH8,128,437
845,A3MQF7,1,103
846,A3MSA1,567,644
847,A3MWN6,1,203
848,A3N0L8,20,143
849,A3N2T3,1,109
850,A3N3W1,1,123
851,A3N3Y7,1,144
852,A3NLC6,128,437
853,A3NLD5,1,98
854,A3NPL7,1,103
855,A3P6Y8,128,437
856,A3P6Z7,1,97
857,A3PEX2,1271,1352
858,A3Q3B4,136,236
859,A3QM97,66,199
860,A3RGB1,1,89
861,A4D0T2,1,115
862,A4D1F6,1,88
863,A4D1N5,1,150
864,A4D250,1,179
865,A4D2B8,1,103
866,A4D9P4,1,81
867,A4DA70,572,648
868,A4F5Q5,152,253
869,A4FPT9,1,89
870,A4FU69,1,106
871,A4GGE1,1474,1619
872,A4GGE1,1869,2288
873,A4H257,55,153
874,A4H258,55,153
875,A4H259,55,154
876,A4H260,55,153
877,A4H5X5,317,391
878,A4H5X5,672,813
879,A4HU70,308,391
880,A4HU70,562,814
881,A4HVP7,1,162
882,A4I9M7,36,120
883,A4IFW2,1173,1269
884,A4IHD2,1257,1380
885,A4II09,1232,1306
886,A4IID4,1,103
887,A4IIK1,812,997
888,A4IMH7,1,76
889,A4IS33,1,93
890,A4J9Z5,1,141
891,A4KX71,1,148
892,A4KX71,525,944
893,A4KX72,22,376
894,A4KX73,1,281
895,A4KX74,21,116
896,A4KX75,364,448
897,A4KXB2,38,239
898,A4KXB3,1,225
899,A4KXB4,1,85
900,A4KXB4,94,242
901,A4KXK0,1,595
902,A4KXK0,606,1257
903,A4KZ49,1,230
904,A4KZ49,338,517
905,A4KZ49,851,1283
906,A4KZ49,1829,2107
907,A4KZ49,2784,2876
908,A4PBL4,873,980
909,A4PBP6,1,229
910,A4PBP6,242,610
911,A4PBP6,1029,1458
912,A4PBP7,59,680
913,A4PBP9,1,511
914,A4QG78,425,501
915,A4QKG5,1433,1507
916,A4QN01,1,128
917,A4QP73,1,83
918,A4QTC6,1,106
919,A4QVZ8,71,351
920,A4R017,418,502
921,A4R0J9,845,1039
922,A4R227,207,310
923,A4R2R1,1129,1256
924,A4R4R3,1136,1214
925,A4R596,1738,1821
926,A4R640,16,91
927,A4RBW8,253,345
928,A4REU9,615,701
929,A4RF25,1,85
930,A4RF31,1,79
931,A4RHR8,228,302
932,A4RK96,119,198
933,A4RN46,1,165
934,A4S8B7,1,205
935,A4SLP2,1,97
936,A4SNE3,1,140
937,A4T8J9,183,257
938,A4TM34,1,95
939,A4TM73,1,142
940,A4TR35,141,220
941,A4V8W0,1,92
942,A4VCL2,81,177
943,A4VCL2,379,454
944,A4VMX4,1,111
945,A4W5R1,536,613
946,A4W964,746,842
947,A4WCR5,1,92
948,A4WCV7,1,116
949,A4X0V0,762,860
950,A4XV04,1,91
951,A4XXB7,1,134
952,A4YHQ8,1,875
953,A4YHQ8,1009,1159
954,A4YHQ8,1220,1360
955,A4YVG6,238,329
956,A4ZCW2,1,100
957,A4ZCW8,1,101
958,A4ZU87,1,81
959,A4ZU90,1,211
960,A4ZU91,578,653
961,A4ZU93,1,163
962,A4ZU94,1,247
963,A4ZU97,1,91
964,A4ZUA0,1,76
965,A4ZUA1,1,150
966,A4ZUA3,1,107
967,A4ZUA4,1,99
968,A4ZUA5,1,101
969,A4ZUB0,125,257
970,A4ZUB1,1,95
